error_type,record_id,stock_code,date,event_type,investor_name,source_page,evidence_text
FN,GOLD-001282-2004-06-18-001,001282,2004-06-18,增资,孙国奉,PDF p1,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备出资175万元（35%）；孙国敏以货币和机器设备出资162.5万元（32.5%）；张松满以货币和机器设备出资162.5万元（32.5%）。2004年6月18日经芜湖市工商行政管理局核准。
FN,GOLD-001282-2004-06-18-002,001282,2004-06-18,增资,孙国敏,PDF p1,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备出资175万元（35%）；孙国敏以货币和机器设备出资162.5万元（32.5%）；张松满以货币和机器设备出资162.5万元（32.5%）。2004年6月18日经芜湖市工商行政管理局核准。
FN,GOLD-001282-2004-06-18-003,001282,2004-06-18,增资,张松满,PDF p1,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备出资175万元（35%）；孙国敏以货币和机器设备出资162.5万元（32.5%）；张松满以货币和机器设备出资162.5万元（32.5%）。2004年6月18日经芜湖市工商行政管理局核准。
FN,GOLD-001282-2007-12-001,001282,2007-12,增资及股权转让,温州三联锻造有限公司,PDF p1,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
FN,GOLD-001282-2007-12-002,001282,2007-12,增资及股权转让,张爱连,PDF p1,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
FN,GOLD-001282-2007-12-003,001282,2007-12,增资及股权转让,孙娟丽,PDF p1,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
FN,GOLD-001282-2007-12-004,001282,2007-12,增资及股权转让,孙国奉,PDF p1,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
FN,GOLD-001282-2014-05-001,001282,2014-05,增资,孙国奉,PDF p1,"2014年5月，三联有限第二次增资3,000万元，孙国奉出资1,995万元，张松满出资1,005万元。注册资本增至5,000万元。增资后孙国奉66.50%，张松满33.50%。"
FN,GOLD-001282-2014-05-002,001282,2014-05,增资,张松满,PDF p1,"2014年5月，三联有限第二次增资3,000万元，孙国奉出资1,995万元，张松满出资1,005万元。注册资本增至5,000万元。增资后孙国奉66.50%，张松满33.50%。"
FN,GOLD-001282-2017-02-001,001282,2017-02,增资,芜湖高新同华创业投资合伙企业（有限合伙）,PDF p1,"2017年2月，三联有限第三次增资1,150万元，由高新同华出资1,150万元。注册资本增至6,150万元。高新同华为私募创业投资基金。"
FN,GOLD-001282-2018-11-26-001,001282,2018-11-26,其他,孙国奉,PDF p1,"2018年10月11日，三联有限召开股东会，同意整体变更设立股份有限公司。截至2018年7月31日，经审计净资产29,828.50万元（调整后），按1:0.2732折股81,500,000股，每股面值1元。发起人为孙国奉、张一衡、孙国敏、孙仁豪、高新同华5名股东。2018年11月26日经芜湖市工商行政管理局核准。"
FN,GOLD-001282-2018-11-26-002,001282,2018-11-26,其他,张一衡,PDF p1,"2018年10月11日，三联有限召开股东会，同意整体变更设立股份有限公司。截至2018年7月31日，经审计净资产29,828.50万元（调整后），按1:0.2732折股81,500,000股，每股面值1元。发起人为孙国奉、张一衡、孙国敏、孙仁豪、高新同华5名股东。2018年11月26日经芜湖市工商行政管理局核准。"
FN,GOLD-001282-2018-11-26-003,001282,2018-11-26,其他,孙国敏,PDF p1,"2018年10月11日，三联有限召开股东会，同意整体变更设立股份有限公司。截至2018年7月31日，经审计净资产29,828.50万元（调整后），按1:0.2732折股81,500,000股，每股面值1元。发起人为孙国奉、张一衡、孙国敏、孙仁豪、高新同华5名股东。2018年11月26日经芜湖市工商行政管理局核准。"
FN,GOLD-001282-2018-11-26-004,001282,2018-11-26,其他,孙仁豪,PDF p1,"2018年10月11日，三联有限召开股东会，同意整体变更设立股份有限公司。截至2018年7月31日，经审计净资产29,828.50万元（调整后），按1:0.2732折股81,500,000股，每股面值1元。发起人为孙国奉、张一衡、孙国敏、孙仁豪、高新同华5名股东。2018年11月26日经芜湖市工商行政管理局核准。"
FN,GOLD-001282-2018-11-26-005,001282,2018-11-26,其他,芜湖高新同华创业投资合伙企业（有限合伙）,PDF p1,"2018年10月11日，三联有限召开股东会，同意整体变更设立股份有限公司。截至2018年7月31日，经审计净资产29,828.50万元（调整后），按1:0.2732折股81,500,000股，每股面值1元。发起人为孙国奉、张一衡、孙国敏、孙仁豪、高新同华5名股东。2018年11月26日经芜湖市工商行政管理局核准。"
FN,GOLD-301563-2008-05-07-001,301563,2008-05-07,增资,深圳市云汉电子有限公司,PDF p1,2008年4月17日，深圳市云汉电子有限公司和刘云锋共同申请设立上海云汉电子有限公司，注册资本50万元，深圳云汉电子认缴25万元（50%），刘云锋认缴25万元（50%）。2008年5月7日办理完毕工商登记。
FN,GOLD-301563-2008-05-07-002,301563,2008-05-07,增资,刘云锋,PDF p1,2008年4月17日，深圳市云汉电子有限公司和刘云锋共同申请设立上海云汉电子有限公司，注册资本50万元，深圳云汉电子认缴25万元（50%），刘云锋认缴25万元（50%）。2008年5月7日办理完毕工商登记。
FN,GOLD-301563-2009-12-001,301563,2009-12,增资及股权转让,曾烨,PDF p1,2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元。深圳市云汉电子有限公司将其持有的有限公司50%股权转让给曾烨。曾烨、刘云锋按原持股比例增资50万元，注册资本增至100万元。
FN,GOLD-301563-2009-12-002,301563,2009-12,增资及股权转让,刘云锋,PDF p1,2009年12月，有限公司第一次股权转让及增资，注册资本增至100万元。深圳市云汉电子有限公司将其持有的有限公司50%股权转让给曾烨。曾烨、刘云锋按原持股比例增资50万元，注册资本增至100万元。
FN,GOLD-301563-2014-08-001,301563,2014-08,增资,武汉力源信息技术股份有限公司,PDF p1,力源信息、东方富海及芜湖富海共同增资28.205万元，注册资本增至128.205万元。此轮引入了产业投资者力源信息（上市公司）及知名投资机构东方富海系。
FN,GOLD-301563-2014-08-002,301563,2014-08,增资,东方富海（上海）创业投资企业（有限合伙）,PDF p1,力源信息、东方富海及芜湖富海共同增资28.205万元，注册资本增至128.205万元。此轮引入了产业投资者力源信息（上市公司）及知名投资机构东方富海系。
FN,GOLD-301563-2014-08-003,301563,2014-08,增资,芜湖富海浩研创业投资基金（有限合伙）,PDF p1,力源信息、东方富海及芜湖富海共同增资28.205万元，注册资本增至128.205万元。此轮引入了产业投资者力源信息（上市公司）及知名投资机构东方富海系。
FN,GOLD-301563-2015-08-001,301563,2015-08,增资,深圳市创新投资集团有限公司,PDF p1,"深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元，注册资本增至2,158.2733万元。丰利财富代表其管理的丰利新三板基金投资，投资总额1,000万元。B轮投资协议约定了2015年、2016年、2017-2018年业绩承诺及上市承诺。"
FN,GOLD-301563-2015-08-002,301563,2015-08,增资,丰利财富（北京）国际资本管理股份有限公司,PDF p1,"深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元，注册资本增至2,158.2733万元。丰利财富代表其管理的丰利新三板基金投资，投资总额1,000万元。B轮投资协议约定了2015年、2016年、2017-2018年业绩承诺及上市承诺。"
FN,GOLD-301563-2015-08-003,301563,2015-08,增资,镇江红土创业投资有限公司,PDF p1,"深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元，注册资本增至2,158.2733万元。丰利财富代表其管理的丰利新三板基金投资，投资总额1,000万元。B轮投资协议约定了2015年、2016年、2017-2018年业绩承诺及上市承诺。"
FN,GOLD-301563-2015-08-004,301563,2015-08,增资,昆山红土高新创业投资有限公司,PDF p1,"深创投、丰利财富、镇江红土、昆山红土、富海深湾、芜湖富海共同增资158.2733万元，注册资本增至2,158.2733万元。丰利财富代表其管理的丰利新三板基金投资，投资总额1,000万元。B轮投资协议约定了2015年、2016年、2017-2018年业绩承诺及上市承诺。"
