sample_id,role,board,year,stock_code,company_name,status
S501,DEV,Main,2023,001286,陕西能源,prespecified
S502,DEV,Main,2023,603307,扬州金泉,prespecified
S503,VAL,Main,2023,001306,夏厦精密,prespecified
S504,DEV,Main,2024,603312,西典新能,prespecified
S505,VAL,Main,2024,603310,巍华新材,prespecified
S506,BLIND,Main,2025,603257,中国瑞林,prespecified
S507,BLIND,Main,2025,603210,泰鸿万立,prespecified
S508,DEV,Main,2025,001400,江顺科技,prespecified
S509,DEV,ChiNext,2023,301358,湖南裕能,prespecified
S510,VAL,ChiNext,2023,301550,斯菱股份,prespecified
S511,DEV,ChiNext,2024,301536,星宸科技,prespecified
S512,DEV,ChiNext,2024,301603,乔锋智能,prespecified
S513,VAL,ChiNext,2024,301606,绿联科技,prespecified
S514,BLIND,ChiNext,2025,301629,矽电股份,prespecified
S515,BLIND,ChiNext,2025,301658,首航新能,prespecified
S516,DEV,ChiNext,2025,301662,宏工科技,prespecified
S517,DEV,BSE,2023,920363,莱赛激光,prespecified
S518,VAL,BSE,2023,920703,广厦环能,prespecified
S519,DEV,BSE,2024,920002,万达轴承,prespecified
S520,DEV,BSE,2024,920008,成电光信,prespecified
S521,VAL,BSE,2024,920019,铜冠矿建,prespecified
S522,BLIND,BSE,2024,920060,万源通,prespecified
S523,BLIND,BSE,2024,920098,科隆新材,prespecified
S524,DEV,BSE,2024,920066,科拜尔,prespecified
