gold_id,stock_code,subscription_date,subscriber_name,claimed_source_page,review_status,traceability_status,recommended_action,evidence_text
GOLD-001282-2004-06-18-001,001282,2004-06-18,孙国奉,PDF p1,inherited_manual_gold,name_year_near,align_to_verbatim_source,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备出资175万元（35%）；孙国敏以货币和机器设备出资162.5万元（32.5%）；张松满以货币和机器设备出资162.5万元（32.5%）。2004年6月18日经芜湖市工商行政管理局核准。
GOLD-001282-2004-06-18-002,001282,2004-06-18,孙国敏,PDF p1,inherited_manual_gold,name_year_near,align_to_verbatim_source,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备出资175万元（35%）；孙国敏以货币和机器设备出资162.5万元（32.5%）；张松满以货币和机器设备出资162.5万元（32.5%）。2004年6月18日经芜湖市工商行政管理局核准。
GOLD-001282-2004-06-18-003,001282,2004-06-18,张松满,PDF p1,inherited_manual_gold,name_year_near,align_to_verbatim_source,2004年6月1日，孙国奉、孙国敏和张松满就设立三联有限签署了股东协议书及公司章程，注册资本500万元，孙国奉以机器设备出资175万元（35%）；孙国敏以货币和机器设备出资162.5万元（32.5%）；张松满以货币和机器设备出资162.5万元（32.5%）。2004年6月18日经芜湖市工商行政管理局核准。
GOLD-001282-2007-12-001,001282,2007-12,温州三联锻造有限公司,PDF p1,inherited_manual_gold,name_only,manual_source_review,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
GOLD-001282-2007-12-002,001282,2007-12,张爱连,PDF p1,inherited_manual_gold,name_only,manual_source_review,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
GOLD-001282-2007-12-003,001282,2007-12,孙娟丽,PDF p1,inherited_manual_gold,name_year_near,align_to_verbatim_source,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
GOLD-001282-2007-12-004,001282,2007-12,孙国奉,PDF p1,inherited_manual_gold,name_year_near,align_to_verbatim_source,"2007年12月，三联有限第一次增资1,500万元，温州三联出资620万元，张爱连出资400万元，孙娟丽出资380万元，孙国奉出资100万元。注册资本增至2,000万元。2008年1月，温州三联将395万元转让予孙国奉、97.5万元予孙国敏、127.5万元予张松满；孙娟丽将380万元转让予张松满；张爱连将400万元转让予孙国敏。"
GOLD-001282-2014-05-001,001282,2014-05,孙国奉,PDF p1,inherited_manual_gold,name_year_near,align_to_verbatim_source,"2014年5月，三联有限第二次增资3,000万元，孙国奉出资1,995万元，张松满出资1,005万元。注册资本增至5,000万元。增资后孙国奉66.50%，张松满33.50%。"
GOLD-001282-2014-05-002,001282,2014-05,张松满,PDF p1,inherited_manual_gold,name_year_near,align_to_verbatim_source,"2014年5月，三联有限第二次增资3,000万元，孙国奉出资1,995万元，张松满出资1,005万元。注册资本增至5,000万元。增资后孙国奉66.50%，张松满33.50%。"
GOLD-001282-2017-02-001,001282,2017-02,芜湖高新同华创业投资合伙企业（有限合伙）,PDF p1,inherited_manual_gold,name_absent,adjudicate_or_find_source,"2017年2月，三联有限第三次增资1,150万元，由高新同华出资1,150万元。注册资本增至6,150万元。高新同华为私募创业投资基金。"
