规则名称,适用公司,适用场景,覆盖率,失败公司,失败原因
章节定位(find_section),8/8,招股书"发行人基本情况"章节定位,8/8,-,-
PDF页码映射(## 第N页),8/8,PyMuPDF输出的PDF页码标记解析,8/8,-,-
关键词定位(增资/设立/股改),8/8,融资事件类型识别,8/8,-,-
HTML表格解析(股东持股表),7/8,解析招股书HTML股权结构表格,7/8,影石创新,VIE架构境外表格格式不同
增资事件提取,6/8,正则提取"增资/增加注册资本"事件,6/8,影石创新/三协电机,VIE架构分散/新三板定增格式不同
股权转让事件提取,5/8,正则提取股权转让事件,5/8,友升/三协/星图,转让描述用词不同("转让"/"受让"/"划转")
整体变更事件提取,5/8,提取"整体变更设立股份有限公司"事件,5/8,友升/三协/星图,公司成立晚/非股份改制路径
投资人名称自动提取,5/8,正则匹配有限合伙/基金/创投等实体,5/8,三协/星图/友升,投资人名称含中介/非标法人实体
手动深度提取(人工),8/8,人工从PDF提取结构化JSON,8/8,-,-
Pydantic Schema校验,8/8,字段类型/必填项/枚举值/evidence文本校验,8/8,-,-
总量Cross-check(认购合计vs股本变化),5/8,验证认购总量对应总股本变化,5/8,三协/星图/影石,缺少完整t0快照或总股本数据
逐股东Cross-check(相邻时点追踪),5/8,追踪每个股东在相邻时点的持股变化,5/8,三协/星图/影石,缺少足够的股权存量快照
价格×数量≈金额校验,4/8,验证price_per_share×shares_subscribed≈amount_subscribed,4/8,三联/黄山谷捷/三协/星图,PDF未同时披露价格和数量
,language: zh-CN
MD行号→PDF页码转换,8/8,将MD行号引用转为PDF页码引用,8/8,-,-
VIE架构事件拆分,1/1,识别并拆分VIE架构中的合并融资事件,1/1,影石创新,招股书未逐轮披露六次增资详情(confidence=low)
Evidence原文验证,8/8,验证evidence_text为PDF原文逐字摘录(非概括),8/8,-,-
